Gene_Name,Product,Lineage,Tax ID,GO_Terms
btuD_1,Vitamin B12 import ATP-binding protein BtuD,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0016491 (oxidoreductase activity) [Confidence: IEA:UniProtKB-ARBA]
hcaB,3-phenylpropionate-dihydrodiol,,2159,No GO terms found
arnC_1,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,,2159,GO:0016757 (glycosyltransferase activity) [Confidence: IEA:UniProtKB-KW]
arnB_1,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
malK_2,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
mltF,Membrane-bound lytic murein transglycosylase F,,2159,No GO terms found
thiE,Thiamine-phosphate synthase,,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
fadB,Fatty acid oxidation complex subunit alpha,,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
malK_3,Trehalose,,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0042626 (ATPase-coupled transmembrane transporter activity) [Confidence: IEA:TreeGrafter]
cobB,NAD-dependent protein deacetylase,,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
trpA,Tryptophan synthase alpha chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
trpB,Tryptophan synthase beta chain,,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
trpD,Anthranilate phosphoribosyltransferase,,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
trpG,Anthranilate synthase component 2,,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
