sample	protein	length	hits	self	close	distal	match
GUT_GENOME094496	GUT_GENOME094496_00001	239	13	8.78112	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00002	658	59	5.36511	6.55897	18.3425	131567
GUT_GENOME094496	GUT_GENOME094496_00003	248	9	6.13333	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00004	238	7	5.19477	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00005	315	76	5.13322	1.88927	32.3945	2
GUT_GENOME094496	GUT_GENOME094496_00006	104	7	6.44615	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00007	87	0	0	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00008	143	2	1.9918	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00009	77	0	0	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00010	128	9	7.57759	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00011	485	36	12.2867	9.78778	0	0
GUT_GENOME094496	GUT_GENOME094496_00012	111	3	2.80788	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00013	92	2	1.97041	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00014	157	37	11.5116	12.6898	0	0
GUT_GENOME094496	GUT_GENOME094496_00015	82	0	0	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00016	471	22	6.14979	4.44521	0	0
GUT_GENOME094496	GUT_GENOME094496_00017	161	31	11.2835	9.96646	0	0
GUT_GENOME094496	GUT_GENOME094496_00018	148	55	16.4314	16.3144	12.1672	2182
GUT_GENOME094496	GUT_GENOME094496_00019	375	46	14.7212	17.4946	1.96649	2182
GUT_GENOME094496	GUT_GENOME094496_00020	332	36	12.0891	12.6791	0	0
GUT_GENOME094496	GUT_GENOME094496_00021	75	0	0	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00022	219	113	12.106	12.441	40.4723	2283794
GUT_GENOME094496	GUT_GENOME094496_00023	264	8	5.7524	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00024	357	33	12.982	7.82133	0	0
GUT_GENOME094496	GUT_GENOME094496_00025	197	29	11.901	6.49239	0	0
GUT_GENOME094496	GUT_GENOME094496_00026	173	28	9.53977	7.57955	0	0
GUT_GENOME094496	GUT_GENOME094496_00027	232	17	9.27632	1.52193	0.510965	523846
GUT_GENOME094496	GUT_GENOME094496_00028	312	33	11.1458	8.45424	0.520339	523846
GUT_GENOME094496	GUT_GENOME094496_00029	272	14	9.82812	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00030	268	39	12.9571	9.66231	0.912313	131567
GUT_GENOME094496	GUT_GENOME094496_00031	223	4	2.78442	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00032	189	3	2.4234	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00033	168	43	14.2338	15.68	0.627692	523846
GUT_GENOME094496	GUT_GENOME094496_00034	204	30	11.7364	6.29716	0	0
GUT_GENOME094496	GUT_GENOME094496_00035	213	154	13.0365	13.0268	55.9416	28890
GUT_GENOME094496	GUT_GENOME094496_00036	387	17	9.87589	1.07989	0	0
GUT_GENOME094496	GUT_GENOME094496_00037	185	4	3.16491	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00038	303	55	12.9032	16.7267	6.40747	2283794
GUT_GENOME094496	GUT_GENOME094496_00039	268	35	12.4899	8.91009	0.546789	523846
GUT_GENOME094496	GUT_GENOME094496_00040	348	8	5.4476	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00041	595	42	12.3336	12.7878	0.542445	523846
GUT_GENOME094496	GUT_GENOME094496_00042	342	53	11.3423	14.6158	6.62481	523846
GUT_GENOME094496	GUT_GENOME094496_00043	339	73	14.4249	17.1652	12.7718	523846
GUT_GENOME094496	GUT_GENOME094496_00044	636	218	15.8182	14.9013	101.294	523846
GUT_GENOME094496	GUT_GENOME094496_00045	204	84	12.9621	12.6995	24.6414	28890
GUT_GENOME094496	GUT_GENOME094496_00046	245	98	12.7439	11.8943	27.4553	2283794
GUT_GENOME094496	GUT_GENOME094496_00047	360	56	12.9463	10.5868	9.86915	2283794
GUT_GENOME094496	GUT_GENOME094496_00048	146	7	5.08014	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00049	311	58	13.2137	16.1185	9.54758	523846
GUT_GENOME094496	GUT_GENOME094496_00050	158	36	11.3718	13.641	0.567308	523846
GUT_GENOME094496	GUT_GENOME094496_00051	388	40	12.2978	11.7035	0.55199	523846
GUT_GENOME094496	GUT_GENOME094496_00052	368	351	12.8656	14.1372	156.163	131567
GUT_GENOME094496	GUT_GENOME094496_00053	101	9	8.22335	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00054	288	39	12.1962	12.1382	0.508532	523846
GUT_GENOME094496	GUT_GENOME094496_00055	313	10	5.89693	0.517179	0.546112	118967
GUT_GENOME094496	GUT_GENOME094496_00056	445	19	12.1271	0.533421	0	0
GUT_GENOME094496	GUT_GENOME094496_00057	70	0	0	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00058	392	33	12.0728	7.56873	0	0
GUT_GENOME094496	GUT_GENOME094496_00059	230	13	8.41425	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00060	217	33	12.3524	7.93612	0	0
GUT_GENOME094496	GUT_GENOME094496_00061	118	2	1.89744	0	0	0
GUT_GENOME094496	GUT_GENOME094496_00062	144	461	13.1067	14.2333	287.997	131567
GUT_GENOME094496	GUT_GENOME094496_00063	388	328	12.0882	13.3684	144.734	131567
