,Gene_Name,Product,Lineage,Tax ID,GO_Terms
0,btuD_1,Vitamin B12 import ATP-binding protein BtuD,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0016491 (oxidoreductase activity) [Confidence: IEA:UniProtKB-ARBA]
1,hcaB,3-phenylpropionate-dihydrodiol,f__Methanobacteriaceae,2159,No GO terms found
2,arnC_1,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,f__Methanobacteriaceae,2159,GO:0016757 (glycosyltransferase activity) [Confidence: IEA:UniProtKB-KW]
3,arnB_1,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,f__Methanobacteriaceae,2159,GO:0030170 (pyridoxal phosphate binding) [Confidence: IEA:TreeGrafter]; GO:0099620 (UDP-4-amino-4-deoxy-L-arabinose aminotransferase) [Confidence: IEA:UniProtKB-EC]
4,malK_2,Trehalose,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]
5,mltF,Membrane-bound lytic murein transglycosylase F,f__Methanobacteriaceae,2159,No GO terms found
6,thiE,Thiamine-phosphate synthase,f__Methanobacteriaceae,2159,GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0004789 (thiamine-phosphate diphosphorylase activity) [Confidence: IEA:UniProtKB-UniRule]
7,fadB,Fatty acid oxidation complex subunit alpha,f__Methanobacteriaceae,2159,GO:0003857 (3-hydroxyacyl-CoA dehydrogenase activity) [Confidence: IEA:UniProtKB-EC]; GO:0070403 (NAD+ binding) [Confidence: IEA:InterPro]
8,malK_3,Trehalose,f__Methanobacteriaceae,2159,GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-KW]; GO:0016887 (ATP hydrolysis activity) [Confidence: IEA:InterPro]; GO:0042626 (ATPase-coupled transmembrane transporter activity) [Confidence: IEA:TreeGrafter]
9,cobB,NAD-dependent protein deacetylase,f__Methanobacteriaceae,2159,"GO:0005524 (ATP binding) [Confidence: IEA:UniProtKB-UniRule]; GO:0042242 (cobyrinic acid a,c-diamide synthase activity) [Confidence: IEA:UniProtKB-UniRule]"
10,trpA,Tryptophan synthase alpha chain,f__Methanobacteriaceae,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
11,trpB,Tryptophan synthase beta chain,f__Methanobacteriaceae,2159,GO:0004834 (tryptophan synthase activity) [Confidence: IEA:UniProtKB-UniRule]
12,trpD,Anthranilate phosphoribosyltransferase,f__Methanobacteriaceae,2159,GO:0004048 (anthranilate phosphoribosyltransferase activity) [Confidence: IEA:UniProtKB-UniRule]; GO:0000287 (magnesium ion binding) [Confidence: IEA:UniProtKB-UniRule]
13,trpG,Anthranilate synthase component 2,f__Methanobacteriaceae,2159,GO:0004049 (anthranilate synthase activity) [Confidence: IEA:UniProtKB-EC]
